,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
0,2/25/2024,at,Rutgers-Newark,L,4-5,34,4,6,3,4,0,0,8,0,2,2,2,0,1,0,5,28,9,2,0.176,baseball
1,2/25/2024,at,Rutgers-Newark,L,3-6,32,3,5,1,0,0,0,5,0,0,1,0,1,0,1,5,24,8,2,0.156,baseball
2,3/3/2024,at,Eastern,W,6-5,27,6,9,6,0,0,1,2,0,0,2,3,0,0,0,3,21,4,1,0.333,baseball
3,3/3/2024,at,Eastern,L,0-9,24,0,5,0,1,0,0,0,0,0,1,1,0,0,1,10,18,10,1,0.208,baseball
4,3/10/2024,vs,Gwynedd Mercy,W,9-4,37,9,13,9,1,0,1,5,0,1,0,0,0,0,0,6,27,12,2,0.351,baseball
5,3/10/2024,vs,Emerson,L,3-7,34,3,6,3,2,0,0,1,0,1,0,1,0,1,0,13,24,12,5,0.176,baseball
6,3/11/2024,vs,Springfield,L,3-4,24,3,5,3,1,1,0,1,0,0,0,0,0,1,0,4,18,3,1,0.208,baseball
7,3/11/2024,vs,Springfield,W,6-3,25,6,7,6,0,0,2,6,0,0,0,0,0,0,0,10,21,13,3,0.28,baseball
8,3/15/2024,at,TCNJ,L,3-11,21,3,3,3,0,0,1,5,0,0,0,0,0,0,1,12,18,8,2,0.143,baseball
9,3/15/2024,,TCNJ,L,0-12,21,0,1,0,0,0,0,1,0,0,0,2,0,0,1,11,21,6,2,0.048,baseball
10,3/16/2024,vs,RIT,W,10-3,37,10,10,9,0,0,0,10,0,2,0,0,0,0,0,12,27,6,1,0.27,baseball
11,3/16/2024,vs,Keystone,L,2-15,26,2,5,2,0,0,0,5,0,1,0,0,0,0,0,16,21,8,3,0.192,baseball
12,3/19/2024,,Neumann,L,7-8,37,7,12,7,4,0,0,7,0,4,0,1,0,1,0,6,27,8,2,0.324,baseball
13,3/20/2024,,Penn State Berks,W,24-7,38,24,16,23,4,0,1,25,0,0,0,2,0,2,0,8,24,10,0,0.421,baseball
14,3/24/2024,,New Jersey City,L,1-4,26,1,4,1,3,0,0,1,0,0,0,0,0,0,0,11,21,11,1,0.154,baseball
15,3/24/2024,,New Jersey City,W,9-6,31,9,14,9,1,1,0,4,1,0,1,1,0,0,0,9,21,6,1,0.452,baseball
16,3/25/2024,,Albright,L,5-12,36,5,8,5,3,0,0,4,0,0,0,1,0,0,1,6,27,16,5,0.222,baseball
17,3/30/2024,,McDaniel,L,3-9,38,3,11,3,1,0,2,4,0,1,0,2,0,0,0,6,27,9,1,0.289,baseball
18,3/30/2024,,McDaniel,L,4-11,37,4,11,3,5,0,0,2,0,0,0,1,0,0,1,6,27,4,2,0.297,baseball
19,4/5/2024,at,Swarthmore,L,0-10,30,0,5,0,1,0,0,3,0,0,2,3,0,0,0,8,27,7,3,0.167,baseball
20,4/5/2024,at,Swarthmore,L,4-19,23,4,3,3,1,0,0,6,0,0,0,2,0,0,3,4,18,8,1,0.13,baseball
21,4/6/2024,at,Gettysburg,L,2-6,32,2,6,2,0,0,0,0,0,1,0,0,0,0,1,9,24,3,1,0.188,baseball
22,4/6/2024,at,Gettysburg,L,4-5,33,4,9,3,1,1,0,1,0,0,1,1,0,0,2,5,25,9,4,0.273,baseball
23,4/9/2024,at,Dickinson,L,3-14,27,3,8,3,3,0,0,4,0,2,0,3,0,1,1,8,18,5,5,0.296,baseball
24,4/10/2024,at,King's (Pa.),L,6-15,40,6,12,6,2,0,0,1,0,1,0,0,0,0,0,3,24,6,4,0.3,baseball
25,4/13/2024,at,Franklin & Marshall,W,3-1,32,3,7,2,2,1,0,4,0,1,2,2,2,0,0,6,27,4,2,0.219,baseball
26,4/13/2024,at,Franklin & Marshall,L,4-7,32,4,6,4,0,0,0,5,0,1,1,2,0,0,1,9,24,11,4,0.188,baseball
27,4/14/2024,,Dickinson,L,8-11,40,8,10,7,3,0,1,1,0,1,0,4,3,0,0,12,33,17,2,0.25,baseball
28,4/16/2024,,Haverford,L,6-13,33,6,11,6,0,1,1,4,0,1,0,1,1,1,2,10,27,8,1,0.333,baseball
29,4/19/2024,at,Haverford,L,5-9,34,5,8,5,1,0,2,2,0,0,0,1,1,0,0,4,24,9,0,0.235,baseball
30,4/20/2024,,Johns Hopkins,L,0-15,25,0,3,0,0,0,0,3,0,0,0,0,0,0,0,9,21,6,0,0.12,baseball
31,4/20/2024,,Johns Hopkins,L,2-19,25,2,6,1,1,0,1,4,0,1,0,0,0,0,1,10,21,2,1,0.24,baseball
32,4/23/2024,,Ursinus,W,8-7,36,8,11,6,0,0,0,9,1,0,0,1,3,0,0,8,30,16,2,0.306,baseball
33,4/24/2024,at,King's (Pa.),L,6-7,40,6,7,6,2,0,0,5,1,0,0,1,1,0,0,10,32,8,1,0.175,baseball
34,4/26/2024,at,Ursinus,W,3-2,33,3,7,3,1,0,2,2,0,1,0,0,0,0,1,7,27,12,1,0.212,baseball
35,4/27/2024,at,Washington College,L,9-10,51,9,13,8,6,0,1,4,0,1,0,0,1,0,1,15,34,7,0,0.255,baseball
36,4/27/2024,at,Washington College,L,5-7,34,5,7,5,2,0,1,3,0,1,0,1,1,0,0,7,24,3,0,0.206,baseball
37,4/29/2024,at,Albright,L,6-10,38,6,13,6,3,0,0,1,0,1,1,1,0,1,0,8,24,7,4,0.342,baseball
38,4/30/2024,at,DeSales,L,5-13,36,5,8,5,0,0,0,5,0,2,0,2,0,0,1,4,24,7,3,0.222,baseball
39,Total,,,,191-341,1259,191,311,177,59,5,17,163,3,27,14,42,14,9,20,315,950,318,76,,baseball
40,2/26/2023,at,St. Mary's (Md.),W,4-3,30,4,8,2,1,0,1,3,0,1,0,1,0,1,0,5,21,9,3,0.267,baseball
41,2/26/2023,at,St. Mary's (Md.),L,5-15,24,5,4,4,2,0,0,5,0,2,0,4,0,1,0,8,18,9,0,0.167,baseball
42,3/2/2023,at,Lebanon Valley,T,7-7,28,7,6,6,4,0,1,10,0,2,0,1,2,1,0,12,24,7,0,0.214,baseball
43,3/5/2023,at,Albright,W,13-2,34,13,14,12,3,0,0,5,0,3,0,3,0,1,0,2,21,13,1,0.412,baseball
44,3/5/2023,at,Albright,W,7-4,25,7,5,5,2,0,0,6,0,0,2,1,0,1,0,4,21,5,1,0.2,baseball
45,3/9/2023,,Eastern,L,5-9,33,5,7,4,1,1,0,9,0,3,1,3,0,1,0,9,27,11,3,0.212,baseball
46,3/12/2023,vs,Springfield,L,1-2,23,1,5,1,0,0,0,5,0,0,2,2,0,0,0,5,18,14,1,0.217,baseball
47,3/12/2023,vs,Springfield,W,4-2,19,4,4,4,0,0,0,2,0,1,0,2,3,0,0,0,21,6,0,0.211,baseball
48,3/13/2023,vs,Marymount,L,2-6,23,2,3,0,1,0,0,3,0,3,0,1,0,0,2,7,18,8,0,0.13,baseball
49,3/13/2023,vs,Marymount,L,1-6,25,1,5,1,1,0,0,1,0,0,0,0,1,0,0,10,21,5,1,0.2,baseball
50,3/17/2023,vs,TCNJ,W,7-6,36,7,11,7,2,0,1,3,0,1,0,0,2,0,0,7,27,7,2,0.306,baseball
51,3/17/2023,vs,TCNJ,L,2-8,28,2,8,2,1,2,0,4,0,0,0,0,1,0,0,8,18,6,3,0.286,baseball
52,3/18/2023,vs,RIT,L,3-4,29,3,6,3,2,0,0,1,0,0,0,1,0,0,0,11,24,8,2,0.207,baseball
53,3/18/2023,vs,RIT,W,5-3,27,5,5,4,2,0,0,5,0,3,0,3,0,0,0,9,21,8,0,0.185,baseball
54,3/22/2023,at,Penn State Berks,W,18-13,42,18,15,14,2,1,2,6,0,9,0,2,0,3,0,8,27,6,1,0.357,baseball
55,3/26/2023,at,Rutgers-Newark,L,1-2,26,1,6,1,2,0,0,0,0,5,0,1,0,1,0,7,18,8,2,0.231,baseball
56,3/26/2023,at,Rutgers-Newark,L,1-2,31,1,4,1,0,0,0,4,0,0,0,2,1,0,0,5,24,11,1,0.129,baseball
57,3/29/2023,at,Scranton,L,1-7,30,1,4,1,0,0,0,4,0,1,0,2,0,1,0,8,24,6,1,0.133,baseball
58,3/30/2023,at,New Jersey City,L,1-4,31,1,5,1,0,0,0,6,0,1,1,0,0,0,2,9,24,6,2,0.161,baseball
59,4/1/2023,at,McDaniel,L,8-15,38,8,14,8,3,1,1,3,0,1,2,1,0,1,0,7,24,10,2,0.368,baseball
60,4/1/2023,at,McDaniel,W,5-3,25,5,9,4,2,0,0,5,0,0,0,1,0,1,1,3,18,3,0,0.36,baseball
61,4/4/2023,,Swarthmore,W,18-6,36,18,17,17,4,0,0,11,0,2,1,4,1,2,1,5,27,5,0,0.472,baseball
62,4/7/2023,at,Swarthmore,L,5-21,36,5,9,5,2,0,1,1,0,0,0,3,0,1,0,5,24,10,3,0.25,baseball
63,4/8/2023,,Gettysburg,W,8-7,41,8,16,7,2,1,0,3,0,3,1,0,0,0,0,11,27,20,3,0.39,baseball
64,4/8/2023,,Gettysburg,W,4-3,38,4,11,3,2,0,0,3,0,1,0,0,1,1,0,4,30,14,1,0.289,baseball
65,4/11/2023,,Dickinson,W,7-3,29,7,9,7,3,1,1,5,0,1,1,1,3,1,0,10,27,9,0,0.31,baseball
66,4/12/2023,at,Neumann,L,15-18,48,15,16,10,0,0,1,5,0,4,0,0,0,0,0,10,24,9,5,0.333,baseball
67,4/14/2023,at,Dickinson,L,4-8,32,4,9,3,1,0,0,2,0,1,1,2,1,2,0,12,24,12,3,0.281,baseball
68,4/16/2023,,Franklin & Marshall,W,9-2,34,9,12,8,3,0,1,7,0,2,1,2,1,0,1,7,27,9,1,0.353,baseball
69,4/16/2023,,Franklin & Marshall,L,3-4,31,3,6,3,2,1,1,2,0,0,0,1,2,0,0,3,27,8,0,0.194,baseball
70,4/18/2023,at,Haverford,L,12-13,40,12,15,12,4,0,2,4,0,3,1,0,2,1,0,11,25,5,3,0.375,baseball
71,4/19/2023,at,DeSales,L,15-20,41,15,16,15,5,0,0,10,0,1,0,0,0,1,2,8,24,7,2,0.39,baseball
72,4/21/2023,,Haverford,L,0-6,31,0,4,0,0,0,0,2,0,0,0,0,0,0,1,3,27,15,2,0.129,baseball
73,4/23/2023,at,Johns Hopkins,L,1-15,35,1,10,1,1,1,0,4,0,0,0,0,1,0,0,11,24,6,0,0.286,baseball
74,4/23/2023,at,Johns Hopkins,L,5-17,30,5,5,5,1,0,0,5,0,0,0,1,0,0,2,8,24,6,1,0.167,baseball
75,4/25/2023,at,Ursinus,L,2-3,34,2,8,2,1,0,0,1,0,1,1,0,0,0,0,5,24,7,0,0.235,baseball
76,4/27/2023,,Washington College,W,12-2,36,12,12,10,4,1,0,10,0,1,1,3,0,1,0,6,27,9,0,0.333,baseball
77,4/27/2023,,Washington College,W,15-1,39,15,16,14,5,0,0,11,0,1,0,1,1,0,1,4,27,7,0,0.41,baseball
78,4/28/2023,,Ursinus,W,3-2,33,3,8,3,1,0,0,9,0,4,0,1,2,0,1,8,30,10,1,0.242,baseball
79,Total,,,,239-274,1251,239,347,210,72,10,13,185,0,61,16,50,25,23,14,275,928,334,51,,baseball
80,2/26/2022,vs,Cazenovia,W,13-3,35,13,9,12,1,3,0,8,0,2,0,5,0,2,0,5,27,13,0,0.257,baseball
81,2/27/2022,vs,Rochester Inst.,W,13-5,39,13,10,9,3,1,0,9,0,0,0,2,0,0,0,13,27,15,2,0.256,baseball
82,2/27/2022,at,Gallaudet,W,10-4,38,10,13,7,5,0,0,4,0,1,0,1,1,0,0,9,27,10,2,0.342,baseball
83,3/5/2022,at,Albright,W,13-1,31,13,11,13,2,0,2,7,0,1,0,3,0,1,0,5,21,6,0,0.355,baseball
84,3/5/2022,at,Albright,W,8-3,33,8,15,8,2,2,1,3,0,0,0,0,0,0,0,9,21,10,0,0.455,baseball
85,3/13/2022,vs,Utica,W,2-1,24,2,5,1,2,0,0,2,0,3,1,1,0,0,1,6,21,6,1,0.208,baseball
86,3/13/2022,vs,Utica,L,0-3,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,21,8,2,0.16,baseball
87,3/14/2022,vs,St. Lawrence,W,13-9,35,13,12,7,2,0,0,5,0,0,0,3,1,0,0,8,21,8,1,0.343,baseball
88,3/14/2022,vs,St. Lawrence,L,6-21,30,6,9,3,1,0,0,4,0,0,0,0,0,0,0,8,21,5,1,0.3,baseball
89,3/15/2022,vs,Clarkson,W,8-3,34,8,12,6,3,1,0,3,0,0,0,3,0,1,0,10,27,12,0,0.353,baseball
90,3/18/2022,vs,Beloit,L,3-14,28,3,7,3,1,0,0,3,0,0,0,1,0,0,0,5,18,7,3,0.25,baseball
91,3/19/2022,vs,Middlebury,W,10-8,41,10,13,7,1,0,2,7,0,2,0,3,1,0,0,9,27,5,3,0.317,baseball
92,3/22/2022,,Neumann,W,8-7,31,8,10,5,2,1,1,5,0,3,0,2,0,1,1,7,27,15,1,0.323,baseball
93,3/25/2022,at,Eastern,L,4-5,38,4,12,2,1,0,1,4,0,1,1,1,1,0,0,7,24,8,1,0.316,baseball
94,3/26/2022,,New Jersey City,W,19-5,44,19,19,18,4,0,5,4,0,2,0,2,1,0,1,9,27,8,1,0.432,baseball
95,3/30/2022,at,Scranton,L,4-14,35,4,10,3,1,0,0,2,0,0,0,2,0,0,0,3,24,8,3,0.286,baseball
96,4/2/2022,,Gettysburg,L,5-6,37,5,10,4,2,0,0,4,0,1,0,2,0,1,0,6,27,20,3,0.27,baseball
97,4/2/2022,,Gettysburg,L,8-9,39,8,15,8,3,0,0,4,0,2,0,1,1,0,1,4,27,9,3,0.385,baseball
98,4/5/2022,at,Dickinson,L,5-16,37,5,8,5,2,0,0,4,0,0,0,0,0,0,0,15,24,4,3,0.216,baseball
99,4/6/2022,at,Moravian,L,8-9,36,8,8,5,1,0,0,10,0,0,0,0,1,0,0,12,26,9,2,0.222,baseball
100,4/9/2022,at,Franklin & Marshall,L,2-7,32,2,5,2,0,0,1,1,0,2,0,2,0,0,0,8,24,12,2,0.156,baseball
101,4/9/2022,at,Franklin & Marshall,L,1-4,31,1,6,1,1,0,0,2,0,1,0,1,1,0,1,10,24,14,3,0.194,baseball
102,4/10/2022,,Dickinson,L,5-10,36,5,10,5,3,0,1,2,0,1,0,1,0,0,0,13,27,7,1,0.278,baseball
103,4/12/2022,at,Ursinus,L,2-9,33,2,6,2,1,0,1,4,0,1,0,2,1,0,0,11,24,9,2,0.182,baseball
104,4/13/2022,at,Penn State Abington,L,9-24,28,9,10,9,1,0,1,8,0,1,2,5,0,3,0,9,21,5,2,0.357,baseball
105,4/15/2022,,Ursinus,W,4-3,48,4,12,3,1,0,1,10,1,4,0,3,0,0,1,9,39,10,3,0.25,baseball
106,4/16/2022,at,Washington College,L,4-5,31,4,7,3,1,0,0,4,0,0,0,0,0,1,0,6,24,7,3,0.226,baseball
107,4/16/2022,at,Washington College,L,4-18,33,4,7,3,1,0,0,4,0,0,0,2,0,0,0,12,24,9,2,0.212,baseball
108,4/19/2022,at,Haverford,W,14-4,42,14,12,13,1,0,1,6,0,1,0,5,1,0,0,12,27,10,0,0.286,baseball
109,4/20/2022,at,DeSales,L,2-7,32,2,8,2,1,0,0,4,0,0,0,0,0,1,1,5,24,8,2,0.25,baseball
110,4/22/2022,,Haverford,L,7-17,35,7,8,7,0,1,2,2,0,1,0,2,0,0,0,12,27,9,2,0.229,baseball
111,4/23/2022,,Johns Hopkins,W,6-4,35,6,12,5,4,0,0,3,0,0,1,5,0,0,0,8,27,6,0,0.343,baseball
112,4/23/2022,,Johns Hopkins,W,9-2,36,9,13,8,2,0,0,3,0,1,1,1,0,1,1,7,27,8,0,0.361,baseball
113,4/26/2022,at,Swarthmore,L,6-11,34,6,8,5,2,0,1,5,0,0,1,1,0,0,1,6,24,6,2,0.235,baseball
114,4/29/2022,,Swarthmore,L,9-18,41,9,13,8,4,0,2,8,0,0,0,4,0,1,0,14,27,5,4,0.317,baseball
115,4/30/2022,at,McDaniel,W,4-3,42,4,13,4,2,0,0,5,0,1,0,1,1,0,0,5,33,3,1,0.31,baseball
116,4/30/2022,at,McDaniel,L,5-6,32,5,6,5,3,0,0,7,0,1,0,3,0,0,1,2,24,8,2,0.188,baseball
117,Total,,,,253-298,1291,253,368,211,67,9,23,170,1,33,7,70,11,13,10,312,932,322,63,,baseball
118,3/27/2021,,Gettysburg,W,15-5,47,15,20,13,4,1,2,4,0,2,0,0,0,0,0,10,27,11,3,0.426,baseball
119,3/27/2021,,Gettysburg,L,4-8,38,4,12,4,1,2,0,1,0,0,0,1,0,0,1,6,27,8,2,0.316,baseball
120,4/3/2021,,Franklin & Marshall,L,4-19,34,4,6,3,2,0,0,1,0,2,0,0,0,0,0,17,27,10,4,0.176,baseball
121,4/3/2021,,Franklin & Marshall,W,9-4,36,9,13,9,2,2,1,1,0,2,0,1,0,0,1,3,27,4,0,0.361,baseball
122,4/10/2021,at,Dickinson,L,2-7,31,2,7,1,1,0,0,2,0,0,0,1,1,0,0,5,24,11,2,0.226,baseball
123,4/10/2021,at,Dickinson,W,6-5,39,6,9,6,2,0,1,7,0,1,0,2,0,0,0,9,33,11,2,0.231,baseball
124,4/14/2021,,Ursinus,W,8-7,40,8,13,8,2,0,0,9,1,0,1,1,0,1,0,3,30,9,0,0.325,baseball
125,4/17/2021,,McDaniel,L,7-8,34,7,6,5,2,0,1,5,0,1,0,3,0,0,0,9,27,4,3,0.176,baseball
126,4/17/2021,,McDaniel,W,6-5,32,6,9,6,3,0,1,5,0,1,1,1,0,1,0,7,27,7,1,0.281,baseball
127,5/1/2021,,Johns Hopkins,L,2-7,30,2,4,2,1,0,1,3,0,1,1,0,1,0,0,15,27,5,3,0.133,baseball
128,5/1/2021,,Johns Hopkins,L,2-10,30,2,4,1,0,0,0,3,0,0,0,2,0,0,2,8,27,5,1,0.133,baseball
129,5/2/2021,at,Haverford,L,6-14,32,6,6,6,3,1,1,4,0,0,0,2,1,1,0,13,24,7,0,0.188,baseball
130,5/6/2021,at,Ursinus,W,3-1,24,3,6,3,0,0,0,1,0,0,0,2,1,1,0,6,21,4,1,0.25,baseball
131,5/6/2021,at,Ursinus,L,4-7,28,4,9,4,3,0,0,0,0,1,0,0,2,0,1,4,18,7,0,0.321,baseball
132,5/8/2021,at,Washington College,W,4-0,25,4,4,4,1,0,0,6,1,2,1,1,2,2,0,3,27,10,2,0.16,baseball
133,5/8/2021,at,Washington College,L,4-5,31,4,6,4,1,0,0,6,0,0,0,1,0,0,1,8,25,5,1,0.194,baseball
134,Total,,,,86-112,531,86,134,79,28,6,8,58,2,13,4,18,8,6,6,126,418,118,25,,baseball
135,2/22/2020,vs,Gwynedd Mercy,W,6-4,32,6,8,6,2,0,0,4,0,3,1,3,1,0,0,7,27,3,1,0.25,baseball
136,2/23/2020,vs,Stevenson,L,8-9,40,8,13,8,3,2,0,6,0,0,1,2,0,0,0,7,27,13,4,0.325,baseball
137,2/23/2020,at,Gallaudet,W,15-4,43,15,14,12,5,2,0,5,0,3,0,5,0,0,0,4,27,9,1,0.326,baseball
138,3/1/2020,vs,Neumann University,W,9-1,34,9,9,4,4,1,1,4,0,0,0,1,0,0,0,10,21,0,1,0.265,baseball
139,3/1/2020,vs,Neumann,W,9-2,28,9,11,7,2,0,0,5,0,1,1,1,0,0,1,5,21,6,1,0.393,baseball
