,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
0,9/1/2023,vs Scranton,L,1-3,(0-1),,120,Erin DiSandro (1) (Abba Diglio),fhockey
1,9/3/2023,at Vassar,L,0-3,(0-2),,110,,fhockey
2,9/9/2023,at Moravian,W,3-1,(1-2),,67,Erin Jackson (0) (Erin DiSandro)  Erin DiSandro (0) Erin Jackson (0),fhockey
3,9/12/2023,at FDU-Florham,W,2-1,(2-2),,125,Abba Diglio (1) (Katie Raab)  Katie Raab (1),fhockey
4,9/15/2023,vs Montclair St.,L,1-2,(2-3),,65,Abba Diglio (2) (Erin DiSandro),fhockey
5,9/20/2023,vs Misericordia,W,3-2,(3-3),,75,Abba Diglio (3) (Devon Eastlack)  Erin DiSandro (3) (Abba Diglio)  Katie Raab (2) (Devon Eastlack),fhockey
6,9/23/2023,vs Gettysburg,W,2-1,"(4-3, 1-0)",1-0,35,Erin DiSandro (4) (Abba Diglio)  Abba Diglio (4) (Erin DiSandro),fhockey
7,9/27/2023,at Ursinus,L,3-4,"(4-4, 1-2)",1-2,71,Abba Diglio (0) (Erin DiSandro)  Erin DiSandro (0) (Katie Raab)  Abba Diglio (0) (Erin Jackson),fhockey
8,9/30/2023,at Johns Hopkins,L,1-7,"(4-5, 1-2 CC)",1-2 CC,150,Abba Diglio (0) (Erin Jackson),fhockey
9,10/4/2023,vs Bryn Mawr,L,1-2,"(4-6, 1-3)",1-3,56,Erin DiSandro (6),fhockey
10,10/7/2023,at Franklin & Marshall,L,0-3,"(4-7, 1-4)",1-4,120,,fhockey
11,10/11/2023,vs Swarthmore,L,1-2,"(4-9, 1-6)",1-6,78,Erin DiSandro (7) (Devon Eastlack),fhockey
12,10/14/2023,vs McDaniel,W,4-0,"(5-8, 2-5 CC)",2-5 CC,30,Devon Eastlack (1) (MJ Callahan)  Katie Raab (3) (Devon Eastlack)  Abba Diglio (8) (Erin DiSandro)  Erin DiSandro (8),fhockey
13,10/18/2023,at Gwynedd Mercy,W,6-1,(6-8),,63,Erin DiSandro (9) (Abba Diglio)  Devon Eastlack (2) Abba Diglio (9) (Zabelle Aslanian)  Erin DiSandro (10) Devon Eastlack (3) Zabelle Aslanian (1) (Erin DiSandro),fhockey
14,10/21/2023,vs Washington College,W,3-0,"(7-8, 3-5 CC)",3-5 CC,117,Abba Diglio (10) (Erin DiSandro)  Abba Diglio (11) Zabelle Aslanian (2) (Erin DiSandro),fhockey
15,10/25/2023,at Haverford,W,4-2,"(8-8, 4-5)",4-5,73,Erin DiSandro (11) (Abba Diglio)  Erin Jackson (3) (Abba Diglio)  Mikayla DeMichele (0) (Erin DiSandro)  Abba Diglio (12) (MJ Callahan),fhockey
16,10/28/2023,at Dickinson,L,0-1,"(8-9, 4-6)",4-6,215,,fhockey
17,9/1/2022,at Scranton,L,1-2,(0-1),,217,Katie Raab (1) (Mallory Holson),fhockey
18,9/3/2022,vs DeSales,L,2-3,(0-2),,114,Katie Raab (2) (Zabelle Aslanian)  Abba Diglio (1) (Nicole Randazza),fhockey
19,9/6/2022,at Eastern,W,5-2,(1-2),,68,Kaitlyn Hennelly (0) (Erin Jackson)  Abba Diglio (0) (Erin Jackson)  Abba Diglio (2) (Erin DiSandro)  Zabelle Aslanian (0) (Mikayla DeMichele)  Mallory Holson (0),fhockey
20,9/9/2022,vs Moravian,L,0-3,(1-3),,250,,fhockey
21,9/14/2022,vs FDU-Florham,W,3-1,(2-3),,117,Nicole Randazza (1) (Katie Raab)  Abba Diglio (4) (Erin Jackson)  Abba Diglio (5),fhockey
22,9/17/2022,at Montclair St.,L,1-3,(2-4),,234,Devon Eastlack (0) (Abba Diglio),fhockey
23,9/23/2022,vs Dickinson,W,1-0,"(3-4, 1-0 CC)",1-0 CC,85,Abba Diglio (6) (Nicole Randazza),fhockey
24,9/28/2022,at Swarthmore,L,0-2,"(3-5, 1-1 CC)",1-1 CC,0,,fhockey
25,9/30/2022,at McDaniel,W,4-1,"(4-5, 2-1 CC)",2-1 CC,117,Nicole Randazza (2) (Erin DiSandro)  Erin DiSandro (1) (Abba Diglio)  Nicole Randazza (3) (Katie Raab)  Erin DiSandro (2) (Katie Raab),fhockey
26,10/5/2022,vs Ursinus,L,0-3,"(4-6, 2-2)",2-2,50,,fhockey
27,10/8/2022,vs Gettysburg,W,2-1,"(5-6, 3-2 CC)",3-2 CC,35,Mallory Holson (3) Erin DiSandro (3) (Abba Diglio),fhockey
28,10/12/2022,at Haverford,L,0-1,"(5-7, 3-3 CC)",3-3 CC,65,,fhockey
29,10/15/2022,at Johns Hopkins,L,0-1,"(5-8, 3-4 CC)",3-4 CC,250,,fhockey
30,10/19/2022,at Bryn Mawr,L,1-3,"(5-9, 3-5)",3-5,73,Abba Diglio (7),fhockey
31,10/22/2022,vs Washington College,L,0-1,"(5-10, 3-6)",3-6,100,,fhockey
32,10/26/2022,vs Franklin & Marshall,L,1-2,"(5-11, 3-7)",3-7,110,Nicole Randazza (4) (Erin DiSandro),fhockey
33,10/29/2022,at Misericordia,L,1-2,(5-12),,100,Zabelle Aslanian (0),fhockey
34,9/4/2021,at DeSales,L,0-3,(0-1),,100,,fhockey
35,9/8/2021,vs Eastern,W,4-2,(1-1),,50,Katie Raab (1) Katie Raab (2) (Erin Jackson)  Laura Horner (1) (Maleah Hess)  Maleah Hess (1),fhockey
36,9/10/2021,at Elizabethtown,W,3-0,(2-1),,88,Mallory Holson (1) (Maleah Hess)  Mallory Holson (2) Mikayla DiMichele (1),fhockey
37,9/15/2021,at FDU-Florham,L,1-2,(2-1),,125,Erin Jackson (0),fhockey
38,9/19/2021,vs Scranton,L,0-1,(2-3),,114,,fhockey
39,9/25/2021,at Dickinson,L,1-2,"(2-5, 0-2)",0-2,200,Katie Raab (0),fhockey
40,9/29/2021,vs Swarthmore,L,0-1,"(2-5, 0-2)",0-2,75,,fhockey
41,10/2/2021,vs McDaniel,W,1-0,(3-5 (1-2 CC)),,100,Laura Horner (2) (Maleah Hess),fhockey
42,10/6/2021,at Ursinus,L,2-4,"(3-6, 1-3)",1-3,83,Zabelle Aslanian (1) Sarah Raab (1),fhockey
43,10/9/2021,at Gettysburg,W,2-1,"(4-6, 2-3 CC)",2-3 CC,145,Mallory Holson (3) (Megan Webber)  Megan Webber (1),fhockey
44,10/13/2021,vs Haverford,L,1-2,"(4-7, 2-4)",2-4,75,Nicole Randazza (1),fhockey
45,10/16/2021,vs Johns Hopkins,L,0-4,"(4-8, 2-5 CC)",2-5 CC,75,,fhockey
46,10/20/2021,vs Bryn Mawr,W,2-1,"(5-8, 3-5)",3-5,100,Maleah Hess (2) (Katie Raab)  Katie Raab (4) (Megan Webber),fhockey
47,10/23/2021,at Washington College,L,1-2,"(5-10, 3-7)",3-7,115,Maleah Hess (0),fhockey
48,10/27/2021,at Franklin & Marshall,L,0-1,"(5-10, 3-7)",3-7,145,,fhockey
49,8/30/2019,at Scranton,W,1-0,"(1-0, 0-0)",0-0,0,Kristin Oberg (1) (Alexandra Gann),fhockey
50,9/4/2019,vs DeSales,W,2-0,(2-0),,100,Alexandra Gann (1) (Kristin Oberg)  Rachel Richards (1) (Morgan Tietz),fhockey
51,9/7/2019,at Elizabethtown,W,1-0,(3-0),,88,Maleah Hess (1) (Alexandra Gann),fhockey
52,9/10/2019,vs King's (Pa.),W,4-0,(4-0),,106,Maleah Hess (2) (Morgan Tietz)  Maleah Hess (3) (Marlee Siegel)  Rachel Richards (2) (Alexandra Gann)  Morgan Tietz (1),fhockey
53,9/14/2019,vs Gettysburg,L,0-4,(4-1 (0-1 CC)),,65,,fhockey
54,9/21/2019,at Franklin & Marshall,L,0-3,"(4-2, 0-2)",0-2,176,,fhockey
55,9/25/2019,at Haverford,W,1-0,"(5-2, 1-2 CC)",1-2 CC,65,Sarah Raab (1) (Morgan Tietz),fhockey
56,9/28/2019,vs Dickinson,W,1-0,(6-2 (2-2 CC)),,105,Alexandra Gann (2) (Megan Webber),fhockey
57,10/1/2019,at Moravian,W,4-0,(7-2),,187,Kristin Oberg (2) (Marlee Siegel)  Alexandra Gann (3) Alexandra Gann (4) Rachel Richards (0) (Marlee Siegel),fhockey
58,10/4/2019,at Montclair State,L,3-4,"(7-3, 2-2)",2-2,349,Rachel Richards (4) (Morgan Tietz)  Sarah Raab (2) (Morgan Tietz)  Rachel Richards (5),fhockey
59,10/9/2019,vs Bryn Mawr,L,1-2,(7-4 (2-3 CC)),,100,Maleah Hess (4) (Sarah Raab),fhockey
60,10/12/2019,at Johns Hopkins,L,1-4,"(7-5, 2-4 CC)",2-4 CC,150,Sophie Beeler (0) (Alexandra Gann),fhockey
61,10/17/2019,vs Ursinus,L,0-3,(7-6 (2-5 CC)),,50,,fhockey
62,10/22/2019,vs Gwynedd Mercy,W,1-0,(8-6),,30,Rachel Richards (6) (Megan Webber),fhockey
63,10/26/2019,at McDaniel,W,2-0,"(9-6, 3-5 CC)",3-5 CC,122,Morgan Tietz (2) Morgan Tietz (4) (Tyler Wilson),fhockey
64,10/29/2019,at Swarthmore,L,2-3,"(9-7, 3-6)",3-6,99,Morgan Tietz (4) Marlee Siegel (1),fhockey
65,11/2/2019,vs Washington College,W,2-1,"(10-7, 4-6)",4-6,92,Kristin Oberg (3) (Alexandra Gann)  Rachel Richards (7) (Sarah Raab),fhockey
66,8/31/2018,vs Scranton,L,1-2,(0-1),,145,Megan Webber (1) (Jessica Oxer),fhockey
67,9/5/2018,at DeSales University,L,1-4,(0-2),,150,Rachel Richards (1) (Maleah Hess),fhockey
68,9/7/2018,vs Elizabethtown,L,1-2,(0-3),,0,Courtney Allen (1) (Jordyn Kamis),fhockey
69,9/11/2018,at King's (Pa.),L,1-2,(0-4),,57,Megan Webber (2) (Courtney Allen),fhockey
70,9/15/2018,vs Franklin &amp; Marshall,W,1-0,"(1-4, 1-0)",1-0,100,Stephi Rydgren (1) (Megan Webber),fhockey
71,9/19/2018,vs Haverford,W,1-0,"(2-4, 1-0 CC)",1-0 CC,84,Morgan Tietz (1) (Courtney Allen),fhockey
72,9/22/2018,at Dickinson,W,2-1,"(3-4, 3-0)",3-0,300,Stephi Rydgren (0) (Emily Davis)  Stephi Rydgren (0),fhockey
73,9/28/2018,vs Montclair St.,L,1-2,(3-5),,100,Stephi Rydgren (3) (Sarah Raab),fhockey
74,10/3/2018,at Bryn Mawr,W,2-1,"(4-5, 4-0)",4-0,57,Jordyn Kamis (1) (Rachel Richards)  Jessica Oxer (1),fhockey
75,10/6/2018,vs Johns Hopkins,L,2-5,"(4-6, 4-1 CC)",4-1 CC,110,Megan Webber (0) (Emily Davis)  Sarah Raab (0) (Morgan Tietz),fhockey
76,10/10/2018,at Ursinus,L,1-4,"(4-7, 4-2)",4-2,211,Sarah Raab (2) (Stephi Rydgren),fhockey
77,10/13/2018,at Gettysburg,W,1-0,"(5-7, 5-2 CC)",5-2 CC,68,Stephi Rydgren (0) (Megan Webber),fhockey
78,10/16/2018,vs Moravian,W,3-2,(6-7),,73,Jordyn Kamis (2) (Stephi Rydgren)  Sarah Raab (3) (Stephi Rydgren)  Courtney Allen (2),fhockey
79,10/19/2018,vs McDaniel,W,1-0,"(7-7, 6-2)",6-2,111,Stephi Rydgren (5) (Morgan Tietz),fhockey
80,10/24/2018,vs Swarthmore,W,1-0,"(8-7, 7-2)",7-2,51,Courtney Allen (3) (Rachel Richards),fhockey
81,10/27/2018,at Washington College,W,3-2,"(9-7, 8-2)",8-2,130,Rachel Richards (2) Stephi Rydgren (6) Stephi Rydgren (7) (Megan Webber),fhockey
82,10/31/2018,vs Dickinson,W,1-0,(9-7),,104,Rachel Richards (0),fhockey
83,11/3/2018,at Franklin & Marshall,L,1-2,(10-8),,352,Rachel Richards (4),fhockey
84,9/1/2017,at Scranton,L,1-2,"(0-1, 0-0)",0-0,125,Laura Holdman (1) (Leah Keller),fhockey
85,9/6/2017,vs DeSales,L,0-1,(0-2),,60,,fhockey
86,9/9/2017,at Elizabethtown,L,1-2,(0-3),,129,Stephi Rydgren (1) (Laura Holdman),fhockey
87,9/12/2017,vs King's,W,4-1,(1-3),,55,Alexandria DeAngelo (1) (Stephi Rydgren)  Marlee Siegel (1) (Emma Strause)  Alexandria DeAngelo (2) (Emma Strause)  Stephi Rydgren (2),fhockey
88,9/16/2017,at Franklin & Marshall,L,0-3,(1-4),,137,,fhockey
89,9/20/2017,at Haverford,L,0-1,"(1-5, 0-2 CC)",0-2 CC,71,,fhockey
90,9/23/2017,vs Dickinson,L,0-1,(1-6 (0-3 CC)),,80,,fhockey
91,9/27/2017,at Montclair State,L,1-5,(1-7),,134,Courtney Allen (1),fhockey
92,10/4/2017,vs Bryn Mawr,W,4-1,"(2-7, 1-3 CC)",1-3 CC,85,Laura Holdman (2) (Rachel Richards)  Rachel Richards (1) (Courtney Allen)  Laura Holdman (3) Chloe Buergenthal (1) (Jessica Oxer),fhockey
93,10/6/2017,at Johns Hopkins,L,0-2,"(2-8, 1-4 CC)",1-4 CC,150,,fhockey
94,10/11/2017,vs Ursinus,L,1-2,"(2-9, 1-5 CC)",1-5 CC,95,Courtney Allen (2) (Laura Holdman),fhockey
95,10/14/2017,vs Gettysburg,W,1-0,(3-9 (2-5 CC)),,104,Rachel Richards (2) (Alexandria DeAngelo),fhockey
96,10/18/2017,at Moravian,W,5-0,(4-9),,113,Rachel Richards (3) (Alexandria DeAngelo)  Alexandria DeAngelo (3) Emily Davis (1) Laura Holdman (4) (Stephi Rydgren)  Stephi Rydgren (3) (Laura Holdman),fhockey
97,10/20/2017,at McDaniel,W,3-0,"(5-9, 3-5 CC)",3-5 CC,55,Courtney Allen (0) (Stephi Rydgren)  Stephi Rydgren (0) (Laura Holdman)  Stephi Rydgren (0),fhockey
98,10/25/2017,at Swarthmore,W,2-1,"(6-9, 4-5 CC)",4-5 CC,85,Stephi Rydgren (0) Rachel Richards (0) (Laura Holdman),fhockey
99,10/27/2017,vs Washington College,W,2-1,(7-9 (5-5 CC)),,115,Laura Holdman (5) (Emily Davis)  Stephi Rydgren (7) (Emily Davis),fhockey
100,9/1/2016,vs Scranton,W,3-1,(1-0),,100,Rachel Strow (1) Emily Davis (1) (Emily Boyle)  Emily Boyle (1),fhockey
101,9/3/2016,vs Elizabethtown,W,2-1,(2-0),,254,Taylor Smith (1) (Emily Boyle)  Rachel Strow (2) (Stephi Rydgren),fhockey
102,9/10/2016,at Stockton,W,4-0,(3-0),,92,Emily Davis (2) Taylor Smith (2) (Rachel Strow)  Rachel Strow (3) Rachel Strow (4),fhockey
