,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
151,vs Franklin & Marshall,01/09/18,82-80,W,27-52,0.519,9-21,0.429,19-25,0.76,2,26,28,35.3,18,18,15,1,8,82,76.8,mbball
152,vs Gettysburg,01/11/18,74-67,W,26-61,0.426,9-30,0.3,13-20,0.65,7,23,30,34.9,15,13,7,2,6,74,76.5,mbball
153,vs McDaniel,01/14/18,65-55,W,21-50,0.42,6-23,0.261,17-24,0.708,7,22,29,34.5,16,8,11,1,8,65,75.7,mbball
154,at Ursinus,01/17/18,61-75,L,24-63,0.381,3-15,0.2,10-22,0.455,9,24,33,34.4,15,9,14,2,8,61,74.7,mbball
155,vs Johns Hopkins,01/20/18,63-85,L,25-61,0.41,8-23,0.348,5-9,0.556,8,18,26,33.9,10,12,17,1,8,63,74.0,mbball
156,at Lancaster Bible,01/22/18,67-72,L,21-60,0.35,10-27,0.37,15-20,0.75,8,31,39,34.2,20,10,20,2,6,67,73.6,mbball
157,at Dickinson,01/25/18,61-64,L,20-55,0.364,7-20,0.35,14-19,0.737,9,24,33,34.1,11,7,7,1,6,61,72.9,mbball
158,at Washington College,01/27/18,88-82,W,28-54,0.519,10-28,0.357,22-26,0.846,6,26,32,34.0,19,18,14,2,6,88,73.7,mbball
159,vs Swarthmore,01/31/18,91-88,W (OT),32-64,0.5,11-28,0.393,16-19,0.842,6,26,32,33.9,18,20,11,2,6,91,74.6,mbball
160,at Franklin & Marshall,02/03/18,70-77,L,24-62,0.387,6-22,0.273,16-18,0.889,11,29,40,34.2,22,10,16,4,6,70,74.3,mbball
161,at Haverford,02/07/18,88-85,W,32-74,0.432,11-31,0.355,13-17,0.765,12,26,38,34.4,14,16,9,5,9,88,75.0,mbball
162,at Gettysburg,02/10/18,72-59,W,23-57,0.404,14-36,0.389,12-18,0.667,8,30,38,34.5,16,17,12,2,7,72,74.8,mbball
163,vs Ursinus,02/14/18,85-100,L,34-70,0.486,5-12,0.417,12-18,0.667,8,18,26,34.2,16,12,10,1,7,85,75.3,mbball
164,at McDaniel,02/17/18,72-75,L,25-60,0.417,14-33,0.424,8-11,0.727,14,26,40,34.4,7,17,12,3,5,72,75.1,mbball
165,Muhlenberg,,-,,654-1533,0.427,231-671,0.344,339-468,0.724,220,640,860,34.4,414,356,328,55,168,1878,75.1,mbball
166,Opponents,,-,,722-1530,0.472,198-554,0.357,300-431,0.696,231,722,953,38.1,441,387,365,64,170,1942,77.7,mbball
167,vs Moravian,11/15/16,85-79,W,22-46,0.478,3-8,0.375,38-49,0.776,4,33,37,37.0,21,12,22,4,9,85,85.0,mbball
168,vs Merchant Marine,11/18/16,69-47,W,24-44,0.545,10-19,0.526,11-17,0.647,4,18,22,29.5,15,18,17,5,13,69,77.0,mbball
169,vs Wilkes,11/19/16,80-70,W,24-49,0.49,5-14,0.357,27-38,0.711,10,21,31,30.0,12,17,12,3,15,80,78.0,mbball
170,at Dickinson,11/22/16,65-75,L,26-61,0.426,4-12,0.333,9-14,0.643,15,28,43,33.3,16,7,19,0,6,65,74.8,mbball
171,vs Swarthmore,12/01/16,49-81,L,19-53,0.358,5-16,0.313,6-10,0.6,8,13,21,30.8,17,11,18,2,15,49,69.6,mbball
172,vs Johns Hopkins,12/03/16,67-65,W,25-53,0.472,6-15,0.4,11-15,0.733,9,24,33,31.2,17,19,18,2,13,67,69.2,mbball
173,at Haverford,12/07/16,65-58,W,25-54,0.463,3-12,0.25,12-26,0.462,12,29,41,32.6,16,9,15,1,9,65,68.6,mbball
174,vs DeSales,12/10/16,72-82,L,26-65,0.4,6-20,0.3,14-17,0.824,13,22,35,32.9,15,12,17,2,10,72,69.0,mbball
175,at Marywood,12/19/16,70-59,W,29-55,0.527,6-18,0.333,6-9,0.667,12,26,38,33.4,9,13,15,2,6,70,69.1,mbball
176,vs Washington College,01/07/17,62-56,W,19-46,0.413,3-14,0.214,21-27,0.778,3,25,28,32.9,21,13,13,4,8,62,68.4,mbball
177,at Franklin & Marshall,01/10/17,46-93,L,16-49,0.327,3-11,0.273,11-18,0.611,12,14,26,32.3,16,6,21,1,8,46,66.4,mbball
178,at Gettysburg,01/12/17,68-61,W,29-67,0.433,5-16,0.313,5-9,0.556,15,30,45,33.3,10,15,12,2,10,68,66.5,mbball
179,vs McDaniel,01/14/17,54-57,L,20-47,0.426,7-21,0.333,7-11,0.636,10,21,31,33.2,13,13,16,1,3,54,65.5,mbball
180,vs Ursinus,01/18/17,97-99,L (3 OT),34-73,0.466,8-18,0.444,21-23,0.913,12,31,43,33.9,22,17,17,4,11,97,67.8,mbball
181,at Johns Hopkins,01/21/17,55-82,L,19-56,0.339,6-16,0.375,11-22,0.5,11,25,36,34.0,18,11,18,2,6,55,66.9,mbball
182,at King's,01/23/17,60-59,W,16-45,0.356,5-13,0.385,23-27,0.852,9,32,41,34.4,24,10,21,1,10,60,66.5,mbball
183,vs Dickinson,01/26/17,72-58,W,25-55,0.455,5-19,0.263,17-22,0.773,10,32,42,34.9,18,9,16,4,9,72,66.8,mbball
184,at Washington College,01/28/17,79-51,W,29-60,0.483,9-21,0.429,12-17,0.706,10,29,39,35.1,12,23,13,1,8,79,67.5,mbball
185,at Swarthmore,02/01/17,50-70,L,15-55,0.273,4-21,0.19,16-24,0.667,11,22,33,35.0,22,10,17,6,6,50,66.6,mbball
186,vs Franklin & Marshall,02/04/17,63-80,L,20-48,0.417,9-17,0.529,14-22,0.636,8,22,30,34.8,15,9,18,0,8,63,66.4,mbball
187,vs Haverford,02/07/17,73-61,W,27-63,0.429,8-23,0.348,11-15,0.733,10,26,36,34.8,10,17,8,5,9,73,66.7,mbball
188,vs Gettysburg,02/11/17,46-64,L,18-57,0.316,4-14,0.286,6-7,0.857,8,22,30,34.6,11,9,10,1,8,46,65.8,mbball
189,at Ursinus,02/15/17,59-86,L,21-64,0.328,8-31,0.258,9-12,0.75,10,22,32,34.5,17,12,11,1,8,59,65.5,mbball
190,at McDaniel,02/18/17,57-73,L,17-43,0.395,8-16,0.5,15-21,0.714,9,15,24,34.0,15,7,15,2,3,57,65.1,mbball
191,Muhlenberg,,-,,545-1308,0.417,140-405,0.346,333-472,0.706,235,582,817,34.0,382,299,379,56,211,1563,65.1,mbball
192,Opponents,,-,,586-1368,0.428,218-585,0.373,276-376,0.734,243,584,827,34.5,421,419,375,67,174,1666,69.4,mbball
193,at Albright,11/13/15,74-66,W,25-52,0.481,3-6,0.5,21-28,0.75,9,34,43,43.0,29,8,19,3,5,74,74.0,mbball
194,vs Arcadia,11/14/15,58-86,L,18-48,0.375,4-14,0.286,18-28,0.643,8,29,37,40.0,19,7,24,7,6,58,66.0,mbball
195,vs City College of NY,11/20/15,66-73,L,20-48,0.417,4-15,0.267,22-36,0.611,10,27,37,39.0,20,14,13,2,4,66,66.0,mbball
196,vs Alvernia,11/21/15,81-70,W,31-57,0.544,10-15,0.667,9-11,0.818,15,29,44,40.3,16,14,11,3,1,81,69.8,mbball
197,vs Franklin & Marshall,11/24/15,78-81,L (OT),24-52,0.462,5-21,0.238,25-36,0.694,12,31,43,40.8,16,13,17,4,3,78,71.4,mbball
198,at Haverford,12/01/15,67-45,W,24-55,0.436,8-18,0.444,11-16,0.688,11,29,40,40.7,13,9,11,2,6,67,70.7,mbball
199,at Gettysburg,12/05/15,65-78,L,23-51,0.451,6-15,0.4,13-15,0.867,6,22,28,38.9,16,12,15,0,5,65,69.9,mbball
200,at DeSales,12/12/15,57-75,L,22-56,0.393,7-17,0.412,6-9,0.667,13,22,35,38.4,12,12,15,1,4,57,68.3,mbball
201,vs King's,01/04/16,75-70,W,28-53,0.528,6-17,0.353,13-17,0.765,11,26,37,38.2,18,14,15,2,5,75,69.0,mbball
202,vs Dickinson,01/07/16,58-54,W,21-50,0.42,3-7,0.429,13-23,0.565,8,30,38,38.2,15,7,17,2,6,58,67.9,mbball
203,at Johns Hopkins,01/09/16,64-75,L,26-66,0.394,3-10,0.3,9-18,0.5,17,24,41,38.5,19,14,8,5,5,64,67.5,mbball
204,vs McDaniel,01/12/16,68-48,W,23-47,0.489,8-12,0.667,14-19,0.737,7,22,29,37.7,15,17,13,3,8,68,67.6,mbball
205,at Washington College,01/14/16,73-64,W,23-41,0.561,4-14,0.286,23-32,0.719,5,29,34,37.4,15,15,16,3,4,73,68.0,mbball
206,vs Gettysburg,01/16/16,67-75,L,26-57,0.456,6-16,0.375,9-17,0.529,8,21,29,36.8,22,18,9,1,4,67,67.9,mbball
207,vs Swarthmore,01/20/16,62-76,L,23-55,0.418,10-24,0.417,6-10,0.6,12,23,35,36.7,17,16,16,6,4,62,67.5,mbball
208,vs Ursinus,01/27/16,43-57,L,15-56,0.268,3-15,0.2,10-16,0.625,8,25,33,36.4,21,7,17,1,8,43,66.0,mbball
209,at McDaniel,01/30/16,54-56,L,21-55,0.382,3-19,0.158,9-12,0.75,14,26,40,36.6,17,6,15,5,2,54,65.3,mbball
210,at Franklin & Marshall,02/02/16,43-72,L,14-49,0.286,5-26,0.192,10-16,0.625,16,22,38,36.7,18,8,26,4,5,43,64.1,mbball
211,vs Johns Hopkins,02/06/16,58-53,W,16-51,0.314,3-21,0.143,23-25,0.92,9,27,36,36.7,23,12,13,1,10,58,63.7,mbball
212,at Dickinson,02/08/16,61-79,L,21-48,0.438,6-13,0.462,13-25,0.52,12,20,32,36.5,15,8,14,1,1,61,63.6,mbball
213,vs Haverford,02/10/16,69-62,W,25-59,0.424,6-16,0.375,13-20,0.65,9,31,40,36.6,10,18,10,2,6,69,63.9,mbball
214,vs Washington College,02/13/16,86-74,W,26-57,0.456,8-19,0.421,26-37,0.703,7,36,43,36.9,18,20,17,6,8,86,64.9,mbball
215,at Swarthmore,02/17/16,69-90,L,20-52,0.385,6-20,0.3,23-31,0.742,8,20,28,36.5,20,7,15,1,4,69,65.0,mbball
216,at Ursinus,02/20/16,81-72,W,26-58,0.448,3-13,0.231,26-32,0.813,6,30,36,36.5,14,10,9,3,8,81,65.7,mbball
217,at Moravian,02/23/16,98-107,L,35-75,0.467,6-12,0.5,22-32,0.688,19,31,50,37.0,27,20,21,3,11,98,67.0,mbball
218,Muhlenberg,,-,,576-1348,0.427,136-395,0.344,387-561,0.69,260,666,926,37.0,445,306,376,71,133,1675,67.0,mbball
219,Opponents,,-,,613-1453,0.422,205-569,0.36,327-454,0.72,231,576,807,32.3,486,379,297,92,181,1758,70.3,mbball
220,at Albright,11/15/14,80-77,W,30-70,0.429,13-28,0.464,7-16,0.438,16,26,42,42.0,19,13,14,6,9,80,80.0,mbball
221,vs Arcadia,11/16/14,88-80,W,30-55,0.545,13-27,0.481,15-20,0.75,4,26,30,36.0,15,17,14,6,5,88,84.0,mbball
222,vs Cairn,11/21/14,88-43,W,31-71,0.437,13-26,0.5,13-17,0.765,17,40,57,43.0,15,18,13,6,10,88,85.3,mbball
223,vs Widener,11/22/14,65-68,L,22-53,0.415,5-26,0.192,16-22,0.727,9,26,35,41.0,19,10,14,5,6,65,80.3,mbball
224,at Haverford,11/25/14,77-80,L,28-65,0.431,7-18,0.389,14-21,0.667,7,28,35,39.8,22,13,11,2,5,77,79.6,mbball
225,vs Moravian,11/30/14,84-77,W,32-61,0.525,6-20,0.3,14-23,0.609,11,35,46,40.8,18,15,14,0,6,84,80.3,mbball
226,vs Swarthmore,12/02/14,66-70,L,19-51,0.373,7-21,0.333,21-23,0.913,6,19,25,38.6,23,6,15,1,11,66,78.3,mbball
227,at Johns Hopkins,12/06/14,77-87,L,24-61,0.393,8-17,0.471,21-25,0.84,9,19,28,37.3,24,12,10,2,6,77,78.1,mbball
228,vs DeSales,12/13/14,86-57,W,31-59,0.525,12-24,0.5,12-16,0.75,12,30,42,37.8,16,21,14,0,8,86,79.0,mbball
229,vs Washington College,12/17/14,88-82,W,28-47,0.596,4-13,0.308,28-34,0.824,4,27,31,37.1,25,12,20,1,9,88,79.9,mbball
230,at King's,01/05/15,55-56,L,20-52,0.385,8-20,0.4,7-13,0.538,7,25,32,36.6,15,10,16,7,11,55,77.6,mbball
231,vs McDaniel,01/07/15,72-64,W,24-50,0.48,6-18,0.333,18-22,0.818,13,28,41,37.0,22,9,18,5,6,72,77.2,mbball
232,at Gettysburg,01/10/15,54-75,L,20-53,0.377,9-20,0.45,5-13,0.385,7,15,22,35.8,13,12,12,1,9,54,75.4,mbball
233,at Franklin & Marshall,01/13/15,57-85,L,23-62,0.371,4-17,0.235,7-7,1.0,10,22,32,35.6,13,11,12,5,8,57,74.1,mbball
234,at Washington College,01/17/15,76-77,L,30-58,0.517,9-16,0.563,7-8,0.875,7,23,30,35.2,14,17,14,5,6,76,74.2,mbball
235,vs Ursinus,01/21/15,64-61,W,25-59,0.424,8-26,0.308,6-9,0.667,8,21,29,34.8,15,11,11,2,9,64,73.6,mbball
236,vs Johns Hopkins,01/24/15,75-80,L,29-58,0.5,5-13,0.385,12-17,0.706,10,20,30,34.5,23,17,13,1,8,75,73.6,mbball
237,vs Dickinson,01/27/15,78-90,L,31-61,0.508,6-15,0.4,10-13,0.769,3,19,22,33.8,20,16,7,2,8,78,73.9,mbball
238,at McDaniel,01/31/15,61-50,W,21-44,0.477,6-13,0.462,13-20,0.65,7,33,40,34.2,16,9,17,7,3,61,73.2,mbball
239,vs Haverford,02/04/15,82-69,W,32-63,0.508,7-22,0.318,11-16,0.688,11,33,44,34.7,18,11,10,3,3,82,73.7,mbball
240,vs Gettysburg,02/07/15,77-73,W,27-50,0.54,7-12,0.583,16-22,0.727,8,20,28,34.3,17,14,12,3,9,77,73.8,mbball
241,at Swarthmore,02/11/15,72-84,L,27-58,0.466,6-22,0.273,12-18,0.667,6,22,28,34.0,26,13,7,3,3,72,73.7,mbball
242,vs Franklin & Marshall,02/14/15,56-65,L,19-44,0.432,4-14,0.286,14-20,0.7,4,22,26,33.7,20,8,14,7,3,56,73.0,mbball
243,at Dickinson,02/18/15,43-53,L,18-59,0.305,0-9,0.0,7-8,0.875,9,25,34,33.7,13,5,10,4,5,43,71.7,mbball
244,at Ursinus,02/21/15,67-58,W,19-48,0.396,6-17,0.353,23-32,0.719,3,23,26,33.4,18,9,9,6,9,67,71.5,mbball
245,Muhlenberg,,-,,640-1412,0.453,179-474,0.378,329-455,0.723,208,627,835,33.4,459,309,321,90,175,1788,71.5,mbball
246,Opponents,,-,,622-1414,0.44,157-438,0.358,360-517,0.696,245,615,860,34.4,410,349,337,73,150,1761,70.4,mbball
247,vs Bryn Athyn,11/15/13,95-55,W,35-69,0.507,11-27,0.407,14-16,0.875,13,33,46,46.0,16,18,7,3,6,95,95.0,mbball
248,vs Gwynedd Mercy,11/16/13,81-80,W,30-67,0.448,7-19,0.368,14-22,0.636,15,29,44,45.0,24,12,10,0,4,81,88.0,mbball
249,at Moravian,11/19/13,75-56,W,27-62,0.435,8-23,0.348,13-19,0.684,14,29,43,44.3,21,12,12,6,3,75,83.7,mbball
250,at Washington College,11/23/13,99-104,L (OT),30-55,0.545,10-14,0.714,29-36,0.806,7,27,34,41.8,29,13,21,2,3,99,87.5,mbball
251,vs Haverford,11/26/13,75-59,W,25-52,0.481,5-17,0.294,20-21,0.952,10,25,35,40.4,14,14,15,3,3,75,85.0,mbball
252,at Swarthmore,12/03/13,64-48,W,20-54,0.37,4-17,0.235,20-24,0.833,13,24,37,39.8,17,6,12,3,10,64,81.5,mbball
253,vs Johns Hopkins,12/07/13,91-75,W,32-59,0.542,7-15,0.467,20-24,0.833,9,30,39,39.7,21,19,15,4,6,91,82.9,mbball
254,at DeSales,12/14/13,83-64,W,25-56,0.446,11-25,0.44,22-25,0.88,5,28,33,38.9,21,14,7,3,5,83,82.9,mbball
255,at Washington & Lee,12/16/13,66-57,W,23-49,0.469,5-16,0.313,15-20,0.75,5,28,33,38.2,17,16,17,4,13,66,81.0,mbball
256,at Scranton,12/17/13,73-79,L,26-59,0.441,2-12,0.167,19-27,0.704,11,23,34,37.8,24,11,10,2,5,73,80.2,mbball
257,vs King's,01/06/14,82-96,L,24-58,0.414,5-18,0.278,29-36,0.806,8,30,38,37.8,33,9,17,2,5,82,80.4,mbball
258,at McDaniel,01/08/14,50-57,L,20-50,0.4,6-14,0.429,4-6,0.667,9,24,33,37.4,17,11,13,6,3,50,77.8,mbball
259,vs Gettysburg,01/11/14,77-69,W,23-49,0.469,5-16,0.313,26-34,0.765,12,24,36,37.3,17,9,16,3,4,77,77.8,mbball
260,vs Franklin & Marshall,01/14/14,64-76,L,22-49,0.449,5-9,0.556,15-23,0.652,6,19,25,36.4,18,9,13,2,4,64,76.8,mbball
261,vs Washington College,01/18/14,76-62,W,28-55,0.509,4-11,0.364,16-20,0.8,13,28,41,36.7,20,11,21,6,6,76,76.7,mbball
262,at Ursinus,01/22/14,82-66,W,32-75,0.427,10-26,0.385,8-10,0.8,13,31,44,37.2,13,15,11,7,8,82,77.1,mbball
263,at Johns Hopkins,01/25/14,70-81,L,25-56,0.446,3-7,0.429,17-20,0.85,12,23,35,37.1,18,5,18,4,6,70,76.6,mbball
264,at Dickinson,01/28/14,75-72,W,27-50,0.54,8-15,0.533,13-17,0.765,4,27,31,36.7,21,9,15,7,2,75,76.6,mbball
265,vs McDaniel,02/01/14,68-54,W,24-43,0.558,5-12,0.417,15-19,0.789,2,23,25,36.1,16,10,9,5,3,68,76.1,mbball
266,at Haverford College,02/05/14,71-81,L,28-65,0.431,9-19,0.474,6-10,0.6,13,21,34,36.0,18,14,9,2,4,71,75.9,mbball
267,at Gettysburg,02/08/14,73-68,W,23-53,0.434,7-19,0.368,20-26,0.769,8,32,40,36.2,18,10,11,7,2,73,75.7,mbball
268,vs Swarthmore,02/12/14,63-54,W,21-56,0.375,4-13,0.308,17-24,0.708,15,21,36,36.2,20,8,13,4,4,63,75.1,mbball
269,at Franklin & Marshall,02/15/14,46-66,L,17-45,0.378,4-15,0.267,8-11,0.727,9,18,27,35.8,20,8,18,2,4,46,73.9,mbball
270,vs Dickinson,02/19/14,86-92,L,33-60,0.55,9-18,0.5,11-17,0.647,10,16,26,35.4,17,15,8,5,6,86,74.4,mbball
271,vs Ursinus,02/22/14,67-65,W,23-59,0.39,8-24,0.333,13-20,0.65,10,33,43,35.7,17,13,12,3,4,67,74.1,mbball
272,at McDaniel,02/26/14,52-57,L,18-48,0.375,7-20,0.35,9-11,0.818,7,19,26,35.3,14,8,9,5,6,52,73.2,mbball
273,Muhlenberg,,-,,661-1453,0.455,169-441,0.383,413-538,0.768,253,665,918,35.3,501,299,339,100,129,1904,73.2,mbball
274,Opponents,,-,,609-1517,0.401,184-580,0.317,391-552,0.708,318,598,916,35.2,493,348,329,71,143,1793,69.0,mbball
275,vs Drew,11/16/12,70-54,W,26-56,0.464,3-17,0.176,15-20,0.75,14,25,39,39.0,15,11,14,2,6,70,70.0,mbball
276,vs Randolph,11/17/12,58-70,L,17-48,0.354,6-27,0.222,18-26,0.692,11,18,29,34.0,23,7,18,3,5,58,64.0,mbball
277,vs Gettysburg,11/20/12,52-66,L,17-55,0.309,3-19,0.158,15-20,0.75,11,20,31,33.0,19,7,11,1,6,52,60.0,mbball
278,at King's,11/26/12,67-56,W,21-65,0.323,7-24,0.292,18-28,0.643,23,27,50,37.3,13,6,10,3,7,67,61.8,mbball
279,vs Swarthmore,11/29/12,91-80,W,29-60,0.483,13-29,0.448,20-28,0.714,9,28,37,37.2,20,22,10,5,4,91,67.6,mbball
280,at Washington College,12/01/12,86-71,W,28-49,0.571,7-16,0.438,23-29,0.793,6,31,37,37.2,15,18,15,3,7,86,70.7,mbball
281,at Dickinson,12/05/12,61-58,W,20-58,0.345,6-18,0.333,15-19,0.789,16,26,42,37.9,10,3,18,2,7,61,69.3,mbball
282,at Johns Hopkins,12/08/12,74-76,L,27-59,0.458,7-16,0.438,13-22,0.591,9,25,34,37.4,26,11,16,4,9,74,69.9,mbball
283,vs Moravian,12/16/12,71-52,W,27-60,0.45,8-19,0.421,9-11,0.818,12,32,44,38.1,8,17,15,12,7,71,70.0,mbball
284,vs Albright,12/18/12,76-78,L,24-59,0.407,7-17,0.412,21-32,0.656,13,27,40,38.3,20,13,14,5,2,76,70.6,mbball
285,vs Goucher,12/19/12,81-66,W,28-52,0.538,13-23,0.565,12-22,0.545,7,26,33,37.8,18,22,13,4,12,81,71.5,mbball
286,vs McDaniel,01/05/13,74-53,W,29-64,0.453,4-17,0.235,12-23,0.522,17,44,61,39.8,17,14,17,14,7,74,71.8,mbball
287,at Lehigh,01/08/13,46-81,L,12-58,0.207,7-27,0.259,15-20,0.75,13,23,36,39.5,15,7,17,2,6,46,69.8,mbball
288,vs Franklin & Marshall,01/10/13,69-74,L,25-58,0.431,6-17,0.353,13-18,0.722,9,17,26,38.5,18,9,6,5,4,69,69.7,mbball
289,at Gettysburg,01/12/13,78-84,L (OT),24-61,0.393,7-21,0.333,23-24,0.958,12,19,31,38.0,26,7,15,4,7,78,70.3,mbball
290,at Haverford,01/16/13,72-56,W,25-58,0.431,8-21,0.381,14-23,0.609,14,32,46,38.5,13,18,13,2,8,72,70.4,mbball
291,vs Washington College,01/19/13,77-48,W,28-55,0.509,5-14,0.357,16-20,0.8,12,37,49,39.1,14,11,19,5,3,77,70.8,mbball
292,at Ursinus,01/23/13,75-73,W,23-58,0.397,4-17,0.235,25-29,0.862,13,27,40,39.2,17,8,8,3,4,75,71.0,mbball
293,vs Johns Hopkins,01/26/13,59-63,L,21-56,0.375,3-14,0.214,14-19,0.737,11,26,37,39.1,14,9,10,9,3,59,70.4,mbball
294,at Swarthmore,01/30/13,70-52,W,27-59,0.458,7-21,0.333,9-17,0.529,11,23,34,38.8,10,11,9,3,9,70,70.4,mbball
295,at Franklin & Marshall,02/02/13,46-68,L,14-48,0.292,2-17,0.118,16-22,0.727,12,24,36,38.7,17,4,20,3,5,46,69.2,mbball
296,vs Dickinson,02/06/13,77-59,W,24-50,0.48,5-11,0.455,24-33,0.727,10,28,38,38.6,20,8,15,6,6,77,69.5,mbball
297,at McDaniel,02/09/13,83-82,W,30-54,0.556,4-8,0.5,19-29,0.655,9,24,33,38.4,15,10,10,5,5,83,70.1,mbball
298,vs Haverford,02/13/13,61-51,W,18-46,0.391,6-15,0.4,19-28,0.679,14,27,41,38.5,10,10,16,5,4,61,69.8,mbball
299,vs Ursinus,02/16/13,80-56,W,25-60,0.417,4-18,0.222,26-31,0.839,10,33,43,38.7,18,10,8,1,9,80,70.2,mbball
300,vs Gettysburg,02/20/13,45-43,W,15-53,0.283,2-17,0.118,13-15,0.867,15,23,38,38.7,9,6,13,2,6,45,69.2,mbball
301,at Franklin & Marshall,02/22/13,46-48,L,15-39,0.385,3-7,0.429,13-16,0.813,5,24,29,38.3,15,6,8,4,6,46,68.3,mbball
302,Muhlenberg,,-,,619-1498,0.413,157-487,0.322,450-624,0.721,318,716,1034,38.3,435,285,358,117,164,1845,68.3,mbball
303,Opponents,,-,,611-1576,0.388,193-578,0.334,303-467,0.649,316,633,949,35.1,528,370,338,94,178,1718,63.6,mbball
