,Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,team_name
165,10/25/2017,at Swarthmore,L,3,39,13,120,0.217,39,2,7,4,59,1,8,1,5.0,0,46.0,volleyball
166,10/28/2017,Washington College,W,3,42,13,103,0.282,39,7,6,5,47,0,10,0,5.0,2,54.0,volleyball
167,11/04/2017,vs Swarthmore,L,4,60,18,171,0.246,58,5,16,6,85,1,12,1,7.0,0,72.0,volleyball
168,,Muhlenberg,,112,1373,543,3978,0.209,1285,243,270,172,1890,34,268,25,168.0,51,1784.0,volleyball
169,,Opponents,,112,1142,572,3812,0.15,1076,171,188,243,1880,32,226,36,145.0,65,1458.0,volleyball
170,9/02/2016,vs Eastern,L,3,19,16,77,0.039,17,7,10,10,30,0,6,1,3.0,2,29.0,volleyball
171,9/02/2016,vs Emmanuel,W,3,30,16,86,0.163,25,18,5,7,30,0,6,2,3.0,0,51.0,volleyball
172,9/03/2016,at Rowan,W,5,56,27,169,0.172,51,9,12,5,71,4,8,0,8.0,0,73.0,volleyball
173,9/03/2016,vs Widener,W,3,30,13,91,0.187,30,9,9,2,56,1,4,1,3.0,1,42.0,volleyball
174,9/09/2016,Cabrini,W,3,46,11,131,0.267,44,10,4,6,74,1,8,0,5.0,0,61.0,volleyball
175,9/09/2016,Marymount,W,3,42,14,108,0.259,39,8,7,4,50,1,8,0,5.0,0,55.0,volleyball
176,9/10/2016,Scranton,L,5,55,19,162,0.222,54,9,11,6,73,4,12,1,10.0,2,74.0,volleyball
177,9/10/2016,Ithaca,L,3,30,13,92,0.185,26,1,7,8,38,1,8,0,5.0,4,36.0,volleyball
178,9/14/2016,at Moravian,W,3,40,10,118,0.254,32,8,8,3,51,1,8,0,5.0,3,53.0,volleyball
179,9/17/2016,McDaniel,W,3,41,15,123,0.211,40,9,10,3,66,3,8,0,7.0,0,57.0,volleyball
180,9/17/2016,Kean,W,3,42,12,101,0.297,40,9,6,2,47,0,8,3,4.0,1,55.0,volleyball
181,9/20/2016,at Elizabethtown,W,3,44,14,99,0.303,42,6,7,4,43,2,8,0,6.0,5,56.0,volleyball
182,9/23/2016,at Johns Hopkins,L,3,27,17,83,0.12,23,4,10,7,35,1,4,0,3.0,0,34.0,volleyball
183,9/28/2016,Dickinson,W,4,55,24,159,0.195,50,8,9,3,79,2,8,0,6.0,1,69.0,volleyball
184,10/01/2016,at Washington College,W,5,62,34,206,0.136,59,12,14,8,110,0,18,1,9.0,2,83.0,volleyball
185,10/05/2016,at Bryn Mawr,W,4,58,22,153,0.235,54,9,15,4,62,2,2,0,3.0,1,70.0,volleyball
186,10/07/2016,vs Whittier,L,3,32,22,120,0.083,31,4,7,3,51,1,6,2,4.0,2,40.0,volleyball
187,10/07/2016,vs Lynchburg,W,5,54,26,164,0.171,52,10,6,4,73,2,22,1,13.0,0,77.0,volleyball
188,10/08/2016,vs UC Santa Cruz,L,5,52,21,162,0.191,50,15,7,12,73,0,16,3,8.0,0,75.0,volleyball
189,10/08/2016,at La Verne,L,3,24,17,80,0.088,23,2,1,8,39,0,9,4,4.5,1,30.5,volleyball
190,10/12/2016,Haverford,L,4,49,19,152,0.197,47,7,8,12,72,1,10,0,6.0,2,62.0,volleyball
191,10/15/2016,Franklin & Marshall,W,4,47,19,157,0.178,46,3,6,5,86,2,14,0,9.0,1,59.0,volleyball
192,10/15/2016,UNION,W,3,41,8,106,0.311,39,6,9,2,53,3,4,1,5.0,0,52.0,volleyball
193,10/19/2016,at Swarthmore,L,3,28,13,105,0.143,27,1,6,10,69,1,6,0,4.0,6,33.0,volleyball
194,10/22/2016,at Gettysburg,W,3,38,18,100,0.2,36,6,3,4,49,2,4,1,4.0,0,48.0,volleyball
195,10/22/2016,vs Hood,W,3,33,19,105,0.133,33,5,7,3,55,2,12,0,8.0,2,46.0,volleyball
196,10/26/2016,Ursinus,W,3,40,13,95,0.284,37,7,5,3,51,1,20,1,11.0,0,58.0,volleyball
197,10/29/2016,Lycoming,W,4,62,21,130,0.315,57,14,9,5,44,0,10,0,5.0,0,81.0,volleyball
198,10/29/2016,at Eastern,L,3,29,16,119,0.109,25,0,6,2,39,3,4,1,5.0,1,34.0,volleyball
199,11/02/2016,Franklin & Marshall,W,3,48,13,118,0.297,44,6,6,2,58,2,8,1,6.0,3,60.0,volleyball
200,11/05/2016,at Johns Hopkins,L,4,29,25,125,0.032,27,2,4,9,60,2,6,3,5.0,0,36.0,volleyball
201,,Muhlenberg,,109,1283,547,3796,0.194,1200,224,234,166,1787,45,275,27,182.5,40,1689.5,volleyball
202,,Opponents,,109,1214,570,3838,0.168,1119,166,234,224,1697,49,174,27,136.0,36,1516.0,volleyball
203,9/01/2015,Eastern,L,4,45,24,142,0.148,44,3,8,7,56,2,12,1,8.0,0,56.0,volleyball
204,9/04/2015,vs Alvernia,W,3,29,12,62,0.274,28,14,6,2,25,0,10,2,5.0,2,48.0,volleyball
205,9/04/2015,vs Stevens Institute,L,5,56,19,161,0.23,54,8,11,0,65,1,16,5,9.0,5,73.0,volleyball
206,9/05/2015,vs Carroll,W,5,57,21,147,0.245,54,12,8,8,60,0,22,4,11.0,6,80.0,volleyball
207,9/05/2015,at Moravian,W,4,48,18,135,0.222,44,10,11,8,70,1,14,1,8.0,0,66.0,volleyball
208,9/11/2015,Moravian,W,3,42,16,94,0.277,41,5,9,3,51,0,15,0,7.5,0,54.5,volleyball
209,9/11/2015,Rowan,W,3,46,8,98,0.388,42,8,7,2,42,3,10,1,8.0,0,62.0,volleyball
210,9/12/2015,Salisbury,L,3,33,17,105,0.152,32,3,11,4,50,0,11,1,5.5,0,41.5,volleyball
211,9/12/2015,Neumann,W,3,52,10,114,0.368,50,3,4,6,72,1,8,0,5.0,0,60.0,volleyball
212,9/16/2015,at McDaniel,W,4,54,22,159,0.201,49,7,5,9,73,0,12,3,6.0,3,67.0,volleyball
213,9/19/2015,Alvernia,W,3,33,10,72,0.319,31,7,6,5,30,2,23,0,13.5,0,53.5,volleyball
214,9/19/2015,Hunter,W,4,47,27,123,0.163,43,11,9,6,54,1,12,0,7.0,0,65.0,volleyball
215,9/23/2015,at Franklin & Marshall,L,5,53,17,156,0.231,47,7,4,7,66,3,8,2,7.0,0,67.0,volleyball
216,9/26/2015,Johns Hopkins,L,4,51,14,133,0.278,46,1,13,14,67,1,10,1,6.0,1,58.0,volleyball
217,9/26/2015,Stockton,W,4,60,22,134,0.284,57,4,8,6,46,1,18,0,10.0,1,74.0,volleyball
218,9/30/2015,at Dickinson,W,3,31,21,104,0.096,27,4,4,3,59,5,8,2,9.0,1,44.0,volleyball
219,10/03/2015,Washington,W,3,50,13,123,0.301,44,5,3,2,66,0,6,0,3.0,0,58.0,volleyball
220,10/07/2015,Bryn Mawr,W,3,41,14,111,0.243,36,7,5,1,46,0,14,2,7.0,0,55.0,volleyball
221,10/10/2015,vs SUNY Canton,W,4,45,13,138,0.232,41,8,8,4,72,3,12,3,9.0,3,62.0,volleyball
222,10/11/2015,at Clarkson,L,3,15,18,73,-0.041,13,4,7,5,30,1,2,3,2.0,0,21.0,volleyball
223,10/11/2015,vs Susquehanna,L,4,34,27,141,0.05,28,8,6,7,50,0,20,5,10.0,0,52.0,volleyball
224,10/14/2015,at Haverford,L,5,52,29,189,0.122,39,11,6,11,73,1,16,2,9.0,1,72.0,volleyball
225,10/21/2015,Swarthmore,L,4,39,30,148,0.061,38,6,5,7,72,1,2,2,2.0,2,47.0,volleyball
226,10/24/2015,Gettysburg,W,3,43,19,120,0.2,39,9,10,6,50,2,10,0,7.0,0,59.0,volleyball
227,10/24/2015,Baruch,W,3,42,14,100,0.28,39,8,9,4,47,1,10,1,6.0,0,56.0,volleyball
228,10/28/2015,at Ursinus,W,4,40,19,124,0.169,32,7,13,5,58,6,6,0,9.0,3,56.0,volleyball
229,10/31/2015,Cabrini,W,5,58,27,196,0.158,51,7,11,5,87,0,15,1,7.5,0,72.5,volleyball
230,10/31/2015,Misericordia,W,3,45,14,116,0.267,42,11,4,2,63,0,12,1,6.0,0,62.0,volleyball
231,,Muhlenberg,,104,1241,515,3518,0.206,1131,198,211,149,1600,36,334,43,203.0,28,1642.0,volleyball
232,,Opponents,,104,1089,585,3631,0.139,1014,159,206,197,1585,36,200,38,136.0,42,1384.0,volleyball
233,8/29/2014,vs Alfred,W,3,38,5,63,0.524,31,9,9,4,29,2,4,2,4.0,1,51.0,volleyball
234,8/29/2014,vs Salve Regina,W,4,40,14,127,0.205,40,6,13,4,65,1,8,5,5.0,1,51.0,volleyball
235,8/30/2014,vs Gallaudet,W,3,33,7,88,0.295,33,11,3,3,45,1,16,1,9.0,3,53.0,volleyball
236,8/30/2014,vs Carnegie Mellon,L,5,46,21,169,0.148,43,6,6,8,72,3,20,4,13.0,0,65.0,volleyball
237,9/05/2014,FDU-Florham,W,3,40,16,75,0.32,35,12,3,5,24,0,6,0,3.0,1,55.0,volleyball
238,9/05/2014,Rutgers-Camden,W,3,33,10,72,0.319,30,11,8,3,31,3,8,0,7.0,0,51.0,volleyball
239,9/06/2014,Shenandoah,W,3,39,15,91,0.264,37,10,8,2,42,3,12,0,9.0,1,58.0,volleyball
240,9/06/2014,Allegheny,W,4,60,20,137,0.292,57,10,7,9,52,0,12,0,6.0,1,76.0,volleyball
241,9/12/2014,vs Eastern,L,3,27,12,101,0.149,25,6,3,9,39,1,0,1,1.0,1,34.0,volleyball
242,9/12/2014,at Neumann,W,4,47,20,142,0.19,41,9,4,3,63,1,10,4,6.0,1,62.0,volleyball
243,9/13/2014,vs Moravian,W,4,53,19,125,0.272,50,11,13,6,57,1,8,3,5.0,5,69.0,volleyball
244,9/13/2014,vs Widener,W,3,43,12,109,0.284,41,11,7,2,31,3,8,1,7.0,4,61.0,volleyball
245,9/17/2014,Franklin & Marshall,W,5,60,17,162,0.265,58,7,11,9,90,2,14,0,9.0,4,76.0,volleyball
246,9/20/2014,McDaniel,W,5,52,29,155,0.148,45,5,11,13,69,0,18,0,9.0,3,66.0,volleyball
247,9/20/2014,Cedar Crest,W,3,30,8,59,0.373,26,24,6,3,28,1,0,0,1.0,2,55.0,volleyball
248,9/25/2014,Scranton,W,5,52,26,161,0.161,47,4,8,8,77,0,26,1,13.0,5,69.0,volleyball
249,9/27/2014,at Johns Hopkins,W,4,38,9,99,0.293,30,10,3,12,47,3,16,3,11.0,2,59.0,volleyball
250,10/01/2014,at Moravian,W,3,31,13,75,0.24,29,10,9,3,29,0,4,0,2.0,0,43.0,volleyball
251,10/04/2014,Dickinson,W,3,45,11,90,0.378,41,5,8,4,33,0,10,0,5.0,1,55.0,volleyball
252,10/08/2014,at Bryn Mawr,W,3,43,13,82,0.366,34,11,5,3,28,0,4,0,2.0,1,56.0,volleyball
253,10/11/2014,at Washington College,W,5,63,21,172,0.244,57,9,10,11,78,1,18,9,10.0,0,82.0,volleyball
254,10/11/2014,vs Lancaster Bible,W,3,40,16,126,0.19,36,10,6,1,61,0,12,4,6.0,2,56.0,volleyball
255,10/16/2014,Haverford,L,4,45,37,147,0.054,44,6,9,3,59,1,14,0,8.0,3,59.0,volleyball
256,10/18/2014,vs Marymount (Va.),W,3,30,13,69,0.246,28,10,7,2,29,0,16,1,8.0,4,48.0,volleyball
257,10/18/2014,at York (Pa.),W,4,51,18,127,0.26,49,9,7,7,51,2,12,1,8.0,1,68.0,volleyball
258,10/22/2014,at Swarthmore,L,3,30,18,107,0.112,26,3,3,12,46,0,12,2,6.0,0,39.0,volleyball
259,10/25/2014,at Gettysburg,W,4,49,20,139,0.209,47,8,4,6,70,4,17,1,12.5,3,69.5,volleyball
260,10/25/2014,vs Messiah,L,5,52,28,166,0.145,48,16,6,10,73,0,26,1,13.0,0,81.0,volleyball
261,10/29/2014,Ursinus,W,3,33,5,66,0.424,31,10,4,7,32,4,12,0,10.0,0,53.0,volleyball
262,11/01/2014,at Stevenson,L,4,44,16,144,0.194,41,7,7,11,72,0,14,3,7.0,3,58.0,volleyball
263,11/01/2014,at Lynchburg,L,3,25,20,113,0.044,25,3,6,4,48,0,12,2,6.0,5,34.0,volleyball
264,11/08/2014,vs Swarthmore,W,4,45,25,150,0.133,40,5,7,6,65,1,12,1,7.0,3,57.0,volleyball
265,11/09/2014,vs Franklin & Marshall,L,5,47,21,156,0.167,44,6,6,12,60,1,20,2,11.0,2,64.0,volleyball
266,,Muhlenberg,,123,1404,555,3864,0.22,1289,290,227,205,1695,39,401,52,239.5,63,1933.5,volleyball
267,,Opponents,,123,1225,656,3892,0.146,1118,210,238,288,1650,36,270,54,171.0,66,1606.0,volleyball
268,8/30/2013,vs Cabrini College,L,3,23,15,90,0.089,23,5,6,8,41,2,10,1,7.0,8,35.0,volleyball
269,8/30/2013,at DeSales University,L,5,44,27,178,0.096,41,5,9,11,75,2,10,2,7.0,2,56.0,volleyball
270,8/31/2013,vs Albright,W,3,32,10,77,0.286,30,16,5,3,30,3,12,0,9.0,5,57.0,volleyball
271,8/31/2013,vs Ithaca,W,3,46,18,107,0.262,44,10,2,4,32,3,2,0,4.0,1,60.0,volleyball
272,9/06/2013,Penn State Abington,W,3,30,11,74,0.257,27,8,6,2,33,0,8,0,4.0,1,42.0,volleyball
273,9/06/2013,Neumann,W,3,29,14,89,0.169,29,9,10,5,44,4,14,0,11.0,1,49.0,volleyball
274,9/07/2013,Gallaudet,L,3,35,12,108,0.213,35,4,5,11,51,1,6,0,4.0,3,43.0,volleyball
275,9/07/2013,Salisbury,L,3,36,22,99,0.141,34,3,3,6,33,0,6,0,3.0,1,42.0,volleyball
276,9/14/2013,at McDaniel,W,3,38,8,92,0.326,34,11,5,3,40,2,8,0,6.0,4,55.0,volleyball
277,9/14/2013,vs Goucher,W,3,36,13,88,0.261,33,6,7,4,42,1,10,0,6.0,1,48.0,volleyball
278,9/21/2013,Johns Hopkins,L,3,27,18,91,0.099,23,2,7,8,33,3,6,0,6.0,1,35.0,volleyball
279,9/24/2013,at Scranton,W,3,41,11,78,0.385,38,5,5,9,34,2,10,0,7.0,0,53.0,volleyball
280,9/28/2013,at Dickinson,W,5,49,28,145,0.145,44,10,9,7,50,5,16,4,13.0,6,72.0,volleyball
281,10/02/2013,Bryn Mawr,W,3,43,18,105,0.238,39,9,6,6,37,2,4,3,4.0,4,56.0,volleyball
282,10/05/2013,Washington College,W,4,46,31,137,0.109,42,9,3,7,64,0,20,3,10.0,7,65.0,volleyball
283,10/05/2013,Hood,W,3,37,10,82,0.329,34,8,3,4,35,3,2,3,4.0,4,49.0,volleyball
284,10/09/2013,at Haverford,W,5,49,35,178,0.079,45,13,8,5,80,0,28,3,14.0,1,76.0,volleyball
285,10/12/2013,vs Birmingham Southern,L,4,39,22,122,0.139,35,7,8,10,42,1,15,1,8.5,3,54.5,volleyball
286,10/12/2013,vs Rust,W,3,32,6,50,0.52,31,23,8,0,24,0,2,0,1.0,0,56.0,volleyball
287,10/13/2013,vs Millsaps,W,5,66,21,190,0.237,64,14,11,8,91,1,12,2,7.0,4,87.0,volleyball
288,10/13/2013,at Rhodes,L,4,39,21,122,0.148,38,10,3,10,53,1,10,2,6.0,1,55.0,volleyball
289,10/16/2013,Penn State Berks,W,3,47,6,101,0.406,44,10,2,4,48,4,4,0,6.0,0,63.0,volleyball
290,10/19/2013,Gettysburg,W,4,49,26,143,0.161,47,8,5,3,73,2,16,1,10.0,3,67.0,volleyball
291,10/19/2013,St. Lawrence,L,5,52,21,145,0.214,47,9,6,5,59,1,18,0,10.0,2,71.0,volleyball
292,10/23/2013,at Ursinus,W,4,50,13,113,0.327,47,10,6,4,57,9,12,0,15.0,2,75.0,volleyball
293,10/26/2013,vs Penn State Altoona,W,3,34,16,101,0.178,32,9,5,6,39,3,12,4,9.0,2,52.0,volleyball
294,10/30/2013,at Franklin & Marshall,L,4,45,28,143,0.119,40,12,8,8,63,2,16,0,10.0,3,67.0,volleyball
295,11/02/2013,Swarthmore,W,3,43,16,114,0.237,40,6,5,6,55,1,2,0,2.0,1,51.0,volleyball
296,11/02/2013,Moravian,L,4,48,20,120,0.233,45,7,7,19,46,1,6,0,4.0,0,59.0,volleyball
297,11/09/2013,vs McDaniel,W,4,55,24,138,0.225,53,12,9,6,51,2,12,0,8.0,4,75.0,volleyball
298,11/10/2013,vs Johns Hopkins,L,4,31,25,117,0.051,30,9,5,8,37,0,10,1,5.0,3,45.0,volleyball
299,,Muhlenberg,,112,1271,566,3537,0.199,1188,279,187,200,1492,61,319,30,220.5,78,1770.5,volleyball
300,,Opponents,,112,1192,600,3526,0.168,1112,201,227,271,1454,42,205,35,144.5,67,1537.5,volleyball
301,8/31/2012,vs Wilkes,W,3,37,18,99,0.192,35,9,6,0,49,2,2,3,3.0,7,49.0,volleyball
302,8/31/2012,vs King's,W,4,41,20,115,0.183,38,10,7,5,41,0,10,0,5.0,7,56.0,volleyball
303,9/01/2012,vs Wesley,W,4,52,21,123,0.252,50,10,10,6,49,3,4,0,5.0,6,67.0,volleyball
304,9/01/2012,at Moravian,L,4,27,13,105,0.133,27,7,7,12,51,1,8,0,5.0,8,39.0,volleyball
305,9/05/2012,DeSales,W,5,65,36,186,0.156,63,4,11,5,96,2,14,4,9.0,2,78.0,volleyball
306,9/07/2012,Centenary (N.J.),W,3,29,12,62,0.274,25,18,7,7,22,2,4,1,4.0,3,51.0,volleyball
307,9/07/2012,King's,W,3,41,14,101,0.267,34,10,3,2,41,0,6,1,3.0,0,54.0,volleyball
308,9/08/2012,Elizabethtown,L,3,40,22,108,0.167,39,5,7,3,44,3,4,2,5.0,4,50.0,volleyball
309,9/08/2012,Salisbury,L,4,35,23,110,0.109,32,6,6,13,52,3,10,0,8.0,4,49.0,volleyball
310,9/15/2012,at McDaniel,W,4,50,19,127,0.244,43,11,11,12,61,4,4,0,6.0,2,67.0,volleyball
311,9/15/2012,vs Goucher,W,3,36,14,110,0.2,31,3,3,2,62,4,4,1,6.0,1,45.0,volleyball
312,9/19/2012,at Haverford,L,3,31,21,103,0.097,31,4,4,9,43,0,2,3,1.0,0,36.0,volleyball
313,9/21/2012,Johns Hopkins,L,3,26,16,93,0.108,26,1,8,6,41,0,4,0,2.0,2,29.0,volleyball
314,9/29/2012,at Dickinson,L,5,53,30,155,0.148,49,9,9,3,69,0,14,0,7.0,5,69.0,volleyball
315,10/03/2012,Bryn Mawr,W,3,40,14,85,0.306,33,8,5,0,34,1,6,0,4.0,2,52.0,volleyball
316,10/04/2012,at FDU-Florham,W,3,29,18,86,0.128,26,11,7,5,56,10,2,2,11.0,6,51.0,volleyball
317,10/06/2012,Washington College,W,3,40,17,109,0.211,35,8,2,3,61,0,10,0,5.0,2,53.0,volleyball
318,10/06/2012,Cedar Crest,W,3,35,10,77,0.325,31,12,5,1,43,2,8,0,6.0,1,53.0,volleyball
319,10/10/2012,at F&M,L,3,21,19,99,0.02,21,3,1,12,47,2,2,4,3.0,2,27.0,volleyball
320,10/12/2012,at Kean,L,4,54,23,146,0.212,47,5,8,11,59,0,12,1,6.0,1,65.0,volleyball
321,10/12/2012,vs Alvernia,W,3,38,20,94,0.191,31,7,8,0,32,2,4,0,4.0,1,49.0,volleyball
322,10/13/2012,vs NYU-Poly,W,4,46,18,114,0.246,39,20,5,7,60,3,8,0,7.0,0,73.0,volleyball
323,10/13/2012,vs Manhattanville,W,3,34,10,79,0.304,30,15,7,1,40,1,0,1,1.0,0,50.0,volleyball
324,10/17/2012,Swarthmore,L,4,49,22,144,0.188,43,2,8,11,61,1,10,0,6.0,5,57.0,volleyball
325,10/20/2012,Gettysburg,L,3,30,22,91,0.088,28,3,5,7,32,0,4,0,2.0,3,35.0,volleyball
326,10/20/2012,York (Pa.),W,5,48,21,177,0.153,47,7,8,8,87,4,14,1,11.0,5,66.0,volleyball
327,10/24/2012,at Moravian,L,3,22,20,94,0.021,19,2,1,8,30,0,10,0,5.0,2,29.0,volleyball
328,10/27/2012,at Ursinus,W,3,39,15,101,0.238,36,3,8,0,38,0,8,3,4.0,1,46.0,volleyball
329,,Muhlenberg,,98,1088,528,3093,0.181,989,213,177,159,1401,50,188,27,144.0,82,1445.0,volleyball
330,,Opponents,,98,917,457,2986,0.154,825,169,208,206,1331,60,158,60,139.0,74,1225.0,volleyball
